geometry,x,y
POINT (115.7557724 -34.0649189),115.75577,-34.06492
POINT (115.6081427 -34.0712484),115.60814,-34.07125
POINT (115.8106761 -34.088245),115.81068,-34.08824
POINT (115.6206745 -34.3421805),115.62067,-34.34218
POINT (115.906498 -33.4565338),115.9065,-33.45653
POINT (115.9101518 -33.4649826),115.91015,-33.46498
POINT (115.9100629 -33.4652521),115.91006,-33.46525
POINT (116.268337 -33.5961552),116.26834,-33.59616
POINT (116.262431 -33.5958295),116.26243,-33.59583
POINT (116.2624917 -33.5799946),116.26249,-33.57999
POINT (116.2311217 -33.6220706),116.23112,-33.62207
POINT (116.3277402 -33.58765),116.32774,-33.58765
POINT (116.171286 -33.322314),116.17129,-33.32231
POINT (116.1562736 -33.3321132),116.15627,-33.33211
POINT (116.1619548 -33.3300607),116.16195,-33.33006
POINT (116.1735747 -33.3337919),116.17357,-33.33379
POINT (116.1424889 -33.3305264),116.14249,-33.33053
POINT (116.1639117 -33.3331816),116.16391,-33.33318
POINT (116.144602 -33.31194),116.1446,-33.31194
POINT (116.1439263 -33.326008),116.14393,-33.32601
POINT (116.14015 -33.3260223),116.14015,-33.32602
POINT (116.1484398 -33.319399),116.14844,-33.3194
POINT (116.1478464 -33.3174733),116.14785,-33.31747
POINT (116.1466468 -33.3145551),116.14665,-33.31456
POINT (116.1429836 -33.3262802),116.14298,-33.32628
POINT (116.143205 -33.325072),116.1432,-33.32507
POINT (116.1450389 -33.3278905),116.14504,-33.32789
POINT (116.1392171 -33.314943),116.13922,-33.31494
POINT (116.21274 -33.428452),116.21274,-33.42845
POINT (116.2178564 -33.4258825),116.21786,-33.42588
POINT (116.2107333 -33.4256045),116.21073,-33.4256
POINT (116.2097454 -33.4242618),116.20975,-33.42426
POINT (116.2134362 -33.4242618),116.21344,-33.42426
POINT (116.0799304 -33.3274673),116.07993,-33.32747
POINT (116.0777746 -33.3250564),116.07777,-33.32506
POINT (116.0608955 -33.3347886),116.0609,-33.33479
POINT (116.0607828 -33.3349576),116.06078,-33.33496
POINT (116.084252 -33.3057009),116.08425,-33.3057
POINT (116.1918544 -33.290201),116.19185,-33.2902
POINT (116.1904537 -33.3941614),116.19045,-33.39416
POINT (116.193988 -33.401755),116.19399,-33.40176
POINT (116.1961538 -33.4011748),116.19615,-33.40117
POINT (116.2278512 -33.4001348),116.22785,-33.40013
POINT (116.2255392 -33.3995119),116.22554,-33.39951
POINT (116.1527744 -33.4133326),116.15277,-33.41333
POINT (116.152817 -33.41694),116.15282,-33.41694
POINT (115.8574183 -33.5554429),115.85742,-33.55544
POINT (115.8582678 -33.550901),115.85827,-33.5509
POINT (115.9025918 -33.5560753),115.90259,-33.55608
POINT (115.9233543 -33.546277),115.92335,-33.54628
POINT (115.9379105 -33.5535152),115.93791,-33.55352
POINT (115.9257778 -33.5843923),115.92578,-33.58439
POINT (115.9357327 -33.566367),115.93573,-33.56637
POINT (116.2884754 -33.524056),116.28848,-33.52406
POINT (116.2850262 -33.5233554),116.28503,-33.52336
POINT (116.2852655 -33.5191891),116.28527,-33.51919
POINT (116.2400508 -33.4901085),116.24005,-33.49011
POINT (116.3584 -33.464292),116.3584,-33.46429
POINT (115.8555986 -33.4755391),115.8556,-33.47554
POINT (115.9875685 -33.5330015),115.98757,-33.533
POINT (115.9877294 -33.5301978),115.98773,-33.5302
POINT (116.0009361 -33.5352735),116.00094,-33.53527
POINT (115.9829927 -33.5271525),115.98299,-33.52715
POINT (115.9642138 -33.4990858),115.96421,-33.49909
POINT (115.961973 -33.5183519),115.96197,-33.51835
POINT (115.8940437 -33.5366925),115.89404,-33.53669
POINT (116.1020837 -33.3405597),116.10208,-33.34056
POINT (116.1077254 -33.3439043),116.10773,-33.3439
POINT (115.9138995 -33.4622209),115.9139,-33.46222
POINT (115.9629873 -33.5766835),115.96299,-33.57668
POINT (116.0179635 -33.5367433),116.01796,-33.53674
POINT (116.0103897 -33.5367375),116.01039,-33.53674
POINT (116.0546577 -33.5220098),116.05466,-33.52201
POINT (116.0516452 -33.5273726),116.05165,-33.52737
POINT (116.0398912 -33.5261405),116.03989,-33.52614
POINT (116.0179746 -33.5362974),116.01797,-33.5363
POINT (116.0108182 -33.5354895),116.01082,-33.53549
POINT (116.0699344 -33.5268979),116.06993,-33.5269
POINT (116.1028756 -33.3421567),116.10288,-33.34216
POINT (115.9706299 -33.5584761),115.97063,-33.55848
POINT (115.9729804 -33.5361671),115.97298,-33.53617
POINT (116.0506929 -33.5534671),116.05069,-33.55347
POINT (116.0098414 -33.318996),116.00984,-33.319
POINT (116.0098776 -33.3194451),116.00988,-33.31945
POINT (116.0099297 -33.3192816),116.00993,-33.31928
POINT (115.9378928 -33.5357232),115.93789,-33.53572
POINT (115.9554067 -33.3005595),115.95541,-33.30056
POINT (116.2338685 -33.377604),116.23387,-33.3776
POINT (116.2336736 -33.3772515),116.23367,-33.37725
POINT (115.9111019 -33.4549472),115.9111,-33.45495
POINT (116.1364223 -33.5410387),116.13642,-33.54104
POINT (116.1244543 -33.5411711),116.12445,-33.54117
POINT (115.9642526 -33.7854831),115.96425,-33.78548
POINT (115.9621084 -33.7838023),115.96211,-33.7838
POINT (115.9618561 -33.7819513),115.96186,-33.78195
POINT (115.949862 -33.7816202),115.94986,-33.78162
POINT (115.9777988 -33.7848854),115.9778,-33.78489
POINT (115.959672 -33.859712),115.95967,-33.85971
POINT (116.2243233 -33.8900924),116.22432,-33.89009
POINT (115.9965051 -33.7845658),115.99651,-33.78457
POINT (115.9924182 -33.787036),115.99242,-33.78704
POINT (115.9921879 -33.7848522),115.99219,-33.78485
POINT (115.989936 -33.779636),115.98994,-33.77964
POINT (115.9866493 -33.7821322),115.98665,-33.78213
POINT (115.9851739 -33.7791785),115.98517,-33.77918
POINT (115.9856561 -33.7831697),115.98566,-33.78317
POINT (115.9992797 -33.7742224),115.99928,-33.77422
POINT (115.9938133 -33.7710965),115.99381,-33.7711
POINT (115.994492 -33.7678727),115.99449,-33.76787
POINT (115.996061 -33.7678457),115.99606,-33.76785
POINT (115.994752 -33.7789768),115.99475,-33.77898
POINT (115.9859703 -33.6105472),115.98597,-33.61055
POINT (115.9638912 -33.6296597),115.96389,-33.62966
POINT (115.9698073 -33.6373419),115.96981,-33.63734
POINT (115.9251888 -33.6200015),115.92519,-33.62
POINT (115.9509193 -33.6040397),115.95092,-33.60404
POINT (115.9453953 -33.7283426),115.9454,-33.72834
